"Title","ID","Created Date","Updated Date","Owner","workNumber","comment","score","replyCount","replyTo","submissionTime"
"","comment-000001","2026-04-19T15:16:03Z","2026-04-19T15:16:03Z","user-0001","175","感谢谱师的创作！这样一首老歌（我没说错吧？感觉还是挺复古的，如果我说错了不要在意哈哈）写成dx谱其实还是有一点意外的，但是能看出来主播把dx谱出现的要素都还运用的不错。在采音、配置等方面几乎挑不出什么毛病，但也没有太多的新意（这点大多数已有评论也已提及），谱师可以尝试在微微加入一点点自己的小巧思并贯穿全篇，这样想必能有更好的表现效果！关于那个慢星星的初见杀问题（其实已经不只是初见杀这么简单了，我三见都没反应过来），如果不是谱师故意想创人（乐），可以试着改变星星轨迹或者形状（其实谱师肯定是会的，因为开头就是这样处理的！），这样子手感应该会好很多。最后祝愿谱师能够不断进步，取得超越从前自己的更好成绩！","685","","",""
"","comment-000002","2026-04-11T19:24:24Z","2026-04-11T19:24:24Z","user-0002","12","谢谢长评和鼓励！以后会注重一下细节的！","0","","comment-003043","2026-04-11T19:24:20.399Z"
"","comment-000003","2026-04-28T11:30:29Z","2026-04-28T11:30:29Z","user-0003","236","thanks！！","0","","comment-002941","2026-04-28T11:30:27.685Z"
"","comment-000004","2026-05-04T14:49:44Z","2026-05-04T14:49:44Z","user-0004","289","A very cute and clean chart. It really made me miss playing Phigros...

Not much to say about this but two things came to mine. The first thing is despite really loving your pattern concept. Your slide design is a bit on the ugly side. For example Combo 217 3-8 break slide would be nicer if it was 3-7 and Combo 254 1-3^4 slide is not very nice looking.... Personal preference I guess.

Another thing is that Combo 407 with the 7-3 slide probably doesn't need to exist. It does overload the screen a lot especially for a Master 13.

That's about it, the chart plays really well and incredibly fun. There is a lot to polish in terms of visual but I think it is definitely workable with enough time. Thank you for your hard work.","753","","",""
"","comment-000005","2026-05-01T17:32:18Z","2026-05-01T17:32:18Z","user-0005","243","## 总体评价

苦瓜大王P爱好者握爪。

整体不是很理性的一个谱面。结构比较驳杂，一些地方的情绪处理的不是很好，不贴歌。全谱没有一个能撑得起来的配置，副歌太过于依赖慢速扫来采音，且整体采音太满、太平、太摊大饼，反而对歌曲情绪有一些破坏。谱面一些地方的手感也值得思考优化。

## 详细评价

首先是开头一段给人的感觉就是touch很碍事，从25cb开始这一整段touch没有什么美感，也没起到什么很重要的作用，但是却很败手感。

然后是181cb开始的第一副歌。这段副歌的采音刚开始很让人摸不着头脑，打了两遍才意识到这里采的是底鼓，而且似乎不仅仅只是底鼓。说实话这里挺反直觉的。这样的采音反而没能把副歌那种味道写出来，配置整体也比较无聊。

然后紧接着，256cb这一段，歌曲很明显的一个情绪向后收。我们常说一收一放，这个“一收”是为了299cb开始的这里做“一放”的。但是256cb这里的强度和前面却完全一样，这就导致你到299cb的时候这个情绪完全没释放出来，就会很憋得慌。

后面一大段其实写的没啥太大毛病，那样写也行，就不多说了。然后就是729cb这一段，一个乐句一个烟花，说实话有点闪眼睛。烟花用起来还是要谨慎。然后就是这一段出了好几个制谱错误，比如739cb这里，你不能期待玩家会换手，这是个连续的慢扫，算是个小瑕疵。然后819cb这里touch圈结束在A8，你不能直接写一个8h接上去，这样内屏玩家得按两下8。

此外，835cb这里就开始爆发了吗，我觉得真正的爆发点885cb，835cb就开始拉强度我觉得并不是很合适。而且885cb这个配置也不是很贴的感觉，只是单纯拉强度了而已。而且因为835cb就开始拉强度了，885cb反而会有没能拉起来的感觉。最最结尾的5个音节的唱词情绪也没有很能写出来那种味道。还有个不太理解的地方就是860cb这里为什么2要写hold，感觉没必要而且会干扰读谱。

## 总结

总体来说还是比较偏稚嫩的一张谱子，希望能继续再接再厉，写出更好的作品。","468","","",""
"","comment-000006","2026-04-11T17:13:56Z","2026-04-11T17:13:56Z","user-0006","58","有很多撞尾
衔接段写的过于水了
吉他solo段写的太素了
800多cb的衔接段的交互很割裂
875几个管子踩的音我喜欢
排键不太行","468","","",""
"","comment-000007","2026-04-26T09:10:45Z","2026-04-26T09:10:45Z","user-0007","220","很暴力的键盘，总体来讲是写的比较爽的高bpm谱面，开头起的略高，部分地方有点卡手了，例如790那边的左起交互初见吓哭了，但总的来说是良谱","835","","",""
"","comment-000008","2026-04-10T00:30:25Z","2026-04-10T00:30:25Z","user-0008","63","因为歌曲设定上是重音进入了后室，所以用有顿挫感的星星一笔画来反应重音已经出现了bug，一笔画的停顿同时也是按bga的重音跳舞有所停顿来考虑，是专门设计的","0","","comment-002057","2026-04-10T00:30:48.023Z"
"","comment-000009","2026-04-28T11:59:55Z","2026-04-28T11:59:55Z","user-0009","180","神谱，409-619cb这一段太逼了，配置、段落感和难度分配都完全无话可说

个人可能唯一觉得不太喜欢的是副歌里类似255cb的双押星星，感觉前面的一手划星星一手反向两个tap的配置非常对味，不知道为什么这里选用一个不是那么好看（这个只是个人审美）的星星而丢失一些采音和律动感，如果想要做一些简单的变化我觉得做一个左右镜像或者用一些比如1-5或许会更合适一些吧

但是小问题并没有怎么影响我对整张谱的喜爱，值得一个好分数","835","","",""
"","comment-000010","2026-05-08T13:02:09Z","2026-05-08T13:02:09Z","user-0010","227","该强的地方没强起来啊！！！前半太强了，副歌的核心没强起来实在可惜。
主歌{16}1bx/Cf,,,,4,2x,,这个地方手序引导出问题了","700","","",""
