"作品Title/曲名","Video /BGA      (optional)","sequenceId","bg","提交時間","ID","Created Date","Updated Date","Owner","作品Title/曲名的複本","isDQ"
"ねぇねぇねぇ。","wix:video://v1/a7a141_2da2c3d4d4ee4e6b97ec0dd7d61137a1/mv.mp4#posterUri=a7a141_2da2c3d4d4ee4e6b97ec0dd7d61137a1f001.jpg&posterWidth=852&posterHeight=480","266","wix:image://v1/a7a141_a08b0b448fb44769b1a57454e02fdff5~mv2.jpg/bg.jpg#originWidth=1280&originHeight=720","2026-04-30T17:29:09Z","work-row-0001","2026-04-30T17:29:11Z","2026-05-09T16:56:22Z","user-0021","","true"
"裏命ちゃんのフクオカトリップ奇騒曲","wix:video://v1/bc0d05_d8693671f95444b5b071a1c71aa2e02f/mv.mp4#posterUri=bc0d05_d8693671f95444b5b071a1c71aa2e02ff001.jpg&posterWidth=854&posterHeight=480","86","wix:image://v1/bc0d05_be7a4ebf35ab46cebd9af7cbef81d5d6~mv2.jpg/bg.jpg#originWidth=1080&originHeight=1080","2026-04-10T01:48:38Z","work-row-0002","2026-04-10T01:48:39Z","2026-05-03T07:27:01Z","user-0090","","true"
"芥の部屋は錆色に沈む","","242","wix:image://v1/ad2fef_2f1eda51ed074333bbf6aad954696e83~mv2.jpg/bg.jpg#originWidth=1600&originHeight=1600","2026-04-23T21:59:07Z","work-row-0003","2026-04-23T21:59:08Z","2026-05-03T15:46:20Z","user-0192","","true"
"異星にいこうね (feat. 星界)","wix:video://v1/d04e7f_77a4654b1e7c4ac7909e44b926f48383/bg.mp4#posterUri=d04e7f_77a4654b1e7c4ac7909e44b926f48383f001.jpg&posterWidth=854&posterHeight=480","174","wix:image://v1/d04e7f_bfd3730f4f984c698cc8a29ec4aa7a31~mv2.png/bg.png#originWidth=500&originHeight=500","2026-04-13T04:23:26Z","work-row-0004","2026-04-13T04:23:27Z","2026-05-09T18:17:44Z","user-0087","","true"
"SAN値直葬","wix:video://v1/abe879_3a4091338cbf41b4a269226633d782ad/mv.mp4#posterUri=abe879_3a4091338cbf41b4a269226633d782adf001.jpg&posterWidth=854&posterHeight=480","81","wix:image://v1/abe879_2b10d099deb548f6902a3dc786cd4292~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-04-09T18:45:25Z","work-row-0005","2026-04-09T18:45:27Z","2026-04-25T04:28:06Z","user-0024","","true"
"バリアシエラ","","278","wix:image://v1/31b053_076d17e505c1437ab6d2e11254b12c63~mv2.jpg/bg.jpg#originWidth=500&originHeight=500","2026-05-02T17:37:34Z","work-row-0006","2026-05-02T17:37:36Z","2026-05-09T18:21:11Z","user-0208","","true"
"終焉逃避行","wix:video://v1/ff432b_ffd1ec5bcc9142cd985b0d61adfaae7d/bg.mp4#posterUri=ff432b_ffd1ec5bcc9142cd985b0d61adfaae7df001.jpg&posterWidth=854&posterHeight=480","99","wix:image://v1/ff432b_f1b96d74bb5b4c32b555be3121f1d841~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-04-10T06:48:49Z","work-row-0007","2026-04-10T06:48:50Z","2026-05-09T18:15:54Z","user-0156","","true"
"黒塗り世界宛て書簡","","78","wix:image://v1/e6a1f5_3339e719300244d2b38b104ed66e554f~mv2.jpg/bg.jpg#originWidth=1600&originHeight=1600","2026-04-09T17:57:04Z","work-row-0008","2026-04-09T17:57:04Z","2026-05-03T07:26:47Z","user-0180","","true"
"OGRE","wix:video://v1/605de5_d30a69b272b545858b449162b2810ff2/bg.mp4#posterUri=605de5_d30a69b272b545858b449162b2810ff2f001.jpg&posterWidth=854&posterHeight=480","18","wix:image://v1/605de5_2043f52d2d5f4fd49956f1e3c0d3b2f2~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-04-09T05:31:00Z","work-row-0009","2026-04-09T05:31:00Z","2026-04-25T04:23:36Z","user-0105","","true"
"マイクロアグレッション","wix:video://v1/fa7bbc_886ecda2ebb144cca2e3558d20621c4b/bg.mp4#posterUri=fa7bbc_886ecda2ebb144cca2e3558d20621c4bf001.jpg&posterWidth=854&posterHeight=480","118","wix:image://v1/fa7bbc_f273df88b2d743bb82ec542ca0d9ab23~mv2.jpg/bg.jpg#originWidth=1400&originHeight=1400","2026-04-10T15:19:57Z","work-row-0010","2026-04-10T15:19:59Z","2026-05-03T07:27:40Z","user-0227","","true"
