"您的ID","isHighQuality","提交時間","ID","Created Date","Updated Date","Owner"
"用户0303","","2026-03-24T00:05:49Z","registration-0001","2026-03-24T00:05:49Z","2026-03-24T00:05:49Z","user-0303"
"用户0226","","2026-03-20T11:55:15Z","registration-0002","2026-03-20T11:55:15Z","2026-03-20T11:55:15Z","user-0226"
"用户0182","","2026-03-20T14:28:26Z","registration-0003","2026-03-20T14:28:26Z","2026-03-20T14:28:26Z","user-0182"
"用户0304","","2026-03-25T12:11:25Z","registration-0004","2026-03-25T12:11:25Z","2026-03-25T12:11:25Z","user-0304"
"用户0193","","2026-03-20T00:21:32Z","registration-0005","2026-03-20T00:21:33Z","2026-03-20T00:21:33Z","user-0193"
"用户0302","","2026-03-21T08:50:33Z","registration-0006","2026-03-21T08:50:33Z","2026-03-21T08:50:33Z","user-0302"
"用户0281","","2026-03-22T15:56:52Z","registration-0007","2026-03-22T15:56:52Z","2026-03-22T15:56:52Z","user-0281"
"用户0305","true","2026-03-20T10:28:16Z","registration-0008","2026-03-20T10:28:16Z","2026-03-20T10:28:17Z","user-0305"
"用户0138","true","2026-03-20T09:01:54Z","registration-0009","2026-03-20T09:01:54Z","2026-03-20T09:01:55Z","user-0138"
"用户0185","","2026-03-20T03:28:58Z","registration-0010","2026-03-20T03:28:58Z","2026-03-20T03:28:58Z","user-0185"
"用户0151","","2026-03-21T17:13:39Z","registration-0011","2026-03-21T17:13:39Z","2026-03-21T17:13:39Z","user-0151"
"用户0297","","2026-03-27T04:03:49Z","registration-0012","2026-03-27T04:03:49Z","2026-03-27T04:03:49Z","user-0297"
"用户0306","","2026-03-26T16:06:28Z","registration-0013","2026-03-26T16:06:28Z","2026-03-26T16:06:28Z","user-0306"
"用户0307","","2026-03-20T04:35:35Z","registration-0014","2026-03-20T04:35:35Z","2026-03-20T04:35:35Z","user-0307"
"用户0035","","2026-03-27T05:24:54Z","registration-0015","2026-03-27T05:24:54Z","2026-03-27T05:24:54Z","user-0035"
"用户0141","","2026-03-22T16:41:40Z","registration-0016","2026-03-22T16:41:40Z","2026-03-22T16:41:40Z","user-0141"
"用户0308","","2026-03-23T06:21:44Z","registration-0017","2026-03-23T06:21:44Z","2026-03-23T06:21:44Z","user-0308"
"用户0008","true","2026-03-21T13:31:51Z","registration-0018","2026-03-21T13:31:51Z","2026-03-21T13:31:52Z","user-0008"
"用户0222","true","2026-03-26T15:45:12Z","registration-0019","2026-03-26T15:45:12Z","2026-03-26T15:45:12Z","user-0222"
"用户0285","","2026-03-21T07:01:00Z","registration-0020","2026-03-21T07:01:00Z","2026-03-21T07:01:00Z","user-0285"
"用户0208","","2026-03-20T18:02:49Z","registration-0021","2026-03-20T18:02:49Z","2026-03-20T18:02:49Z","user-0208"
"用户0071","","2026-03-20T03:13:20Z","registration-0022","2026-03-20T03:13:20Z","2026-03-20T03:13:20Z","user-0071"
"用户0156","true","2026-03-20T03:28:57Z","registration-0023","2026-03-20T03:28:57Z","2026-03-20T03:28:58Z","user-0156"
"用户0024","","2026-03-20T15:14:59Z","registration-0024","2026-03-20T15:14:59Z","2026-03-20T15:14:59Z","user-0024"
"用户0055","true","2026-03-20T03:48:57Z","registration-0025","2026-03-20T03:48:57Z","2026-04-09T04:21:17Z","user-0055"
"用户0111","","2026-03-20T02:56:09Z","registration-0026","2026-03-20T02:56:09Z","2026-03-20T02:56:09Z","user-0111"
"用户0293","","2026-03-21T05:11:16Z","registration-0027","2026-03-21T05:11:16Z","2026-03-21T05:11:16Z","user-0293"
"用户0224","","2026-03-20T14:05:14Z","registration-0028","2026-03-20T14:05:14Z","2026-03-20T14:05:14Z","user-0224"
"用户0309","","2026-03-20T15:55:49Z","registration-0029","2026-03-20T15:55:49Z","2026-03-20T15:55:49Z","user-0309"
"用户0054","","2026-03-20T06:34:43Z","registration-0030","2026-03-20T06:34:43Z","2026-03-20T06:34:43Z","user-0054"
"用户0028","true","2026-03-21T01:49:50Z","registration-0031","2026-03-21T01:49:50Z","2026-03-21T01:49:52Z","user-0028"
"用户0310","","2026-03-20T00:59:50Z","registration-0032","2026-03-20T00:59:51Z","2026-03-20T00:59:51Z","user-0310"
"用户0099","","2026-03-20T07:25:37Z","registration-0033","2026-03-20T07:25:37Z","2026-03-20T07:25:37Z","user-0099"
"用户0113","true","2026-03-21T17:16:32Z","registration-0034","2026-03-21T17:16:32Z","2026-03-21T17:16:32Z","user-0113"
"用户0246","","2026-03-20T13:30:36Z","registration-0035","2026-03-20T13:30:36Z","2026-03-20T13:30:36Z","user-0246"
"用户0299","","2026-03-20T21:57:50Z","registration-0036","2026-03-20T21:57:50Z","2026-03-20T21:57:50Z","user-0299"
"用户0042","true","2026-03-20T02:16:10Z","registration-0037","2026-03-20T02:16:10Z","2026-03-20T02:16:10Z","user-0042"
"用户0107","","2026-03-27T11:47:45Z","registration-0038","2026-03-27T11:47:45Z","2026-03-27T11:47:45Z","user-0107"
"用户0081","true","2026-03-20T03:45:04Z","registration-0039","2026-03-20T03:45:04Z","2026-03-20T03:45:05Z","user-0081"
"用户0311","","2026-03-24T11:58:47Z","registration-0040","2026-03-24T11:58:47Z","2026-03-24T11:58:47Z","user-0311"
"用户0116","","2026-03-21T17:05:49Z","registration-0041","2026-03-21T17:05:49Z","2026-03-21T17:05:49Z","user-0116"
"用户0209","","2026-03-21T10:57:31Z","registration-0042","2026-03-21T10:57:31Z","2026-03-21T10:57:31Z","user-0209"
"用户0165","true","2026-03-20T12:42:09Z","registration-0043","2026-03-20T12:42:09Z","2026-04-09T04:22:35Z","user-0165"
"用户0170","true","2026-03-20T12:55:02Z","registration-0044","2026-03-20T12:55:02Z","2026-03-20T12:55:03Z","user-0170"
"用户0221","","2026-03-20T10:07:13Z","registration-0045","2026-03-20T10:07:13Z","2026-03-20T10:07:13Z","user-0221"
"用户0300","","2026-03-26T12:28:37Z","registration-0046","2026-03-26T12:28:37Z","2026-03-26T12:28:37Z","user-0300"
